Oraj?n Zaman? Y?l-Ay-G?n SA:DA:SN.SL|Enlem: WGS84 ondal?k derece|Boylam: WGS84 ondal?k derece|Oraj Y?kseklik Km.|Ak?m Miktar? kA|Oraj|Mesafe(KM)
2015-02-06 12:10:40.996|37.5311000|43.4606000|0|-6|?im?ek|35.5
2015-02-10 14:16:45.115|37.6301000|43.7324000|0|-13|Y?ld?r?m|28.0
2015-02-10 08:06:15.482|37.4589000|44.3440000|0|31|Y?ld?r?m|46.6
2015-02-10 13:31:59.976|37.5928000|44.0626000|0|-56|Y?ld?r?m|31.1
2015-02-10 07:25:20.560|37.1182000|44.0328000|0|-30|Y?ld?r?m|35.2
2015-02-10 08:16:15.768|37.3196000|43.8974000|0|-12|Y?ld?r?m|10.1
2015-02-10 12:51:00.939|37.0706000|43.4713000|0|-20|Y?ld?r?m|46.8
2015-02-10 15:26:58.208|37.4910000|44.1267000|0|-34|Y?ld?r?m|29.2
2015-02-10 14:14:15.649|37.5984000|43.8228000|0|-16|Y?ld?r?m|23.4
2015-02-10 14:54:35.686|37.5286000|43.8764000|0|-94|Y?ld?r?m|16.4
2015-02-10 07:47:40.489|37.1319000|43.8804000|0|71|Y?ld?r?m|28.9
2015-02-10 01:48:32.407|37.0499000|43.8678000|0|32|Y?ld?r?m|37.7
2015-02-10 02:00:28.837|37.2666000|44.0179000|0|37|?im?ek|21.9
2015-02-10 02:40:28.744|37.2484000|44.0562000|0|34|Y?ld?r?m|25.8
2015-02-09 15:34:47.093|37.2128000|43.8313000|0|20|Y?ld?r?m|19.4
2015-02-09 15:58:32.741|37.1737000|43.7872000|0|85|Y?ld?r?m|24.0
2015-02-10 02:03:05.777|36.9733000|44.0320000|0|-40|Y?ld?r?m|49.6
2015-02-10 04:40:19.571|37.2157000|44.3387000|0|18|Y?ld?r?m|49.3
2015-02-10 03:30:03.143|37.2861000|43.4768000|0|37|Y?ld?r?m|32.4
2015-02-09 16:03:40.380|37.4567000|43.4031000|25|-69|?im?ek|37.6
2015-02-09 16:09:59.759|37.1488000|44.2741000|0|22|Y?ld?r?m|47.8
2015-02-10 06:43:43.737|37.6153000|44.2087000|0|24|Y?ld?r?m|42.4
2015-02-09 19:59:09.955|37.6418000|43.4407000|0|24|Y?ld?r?m|43.8
2015-02-09 14:54:49.974|37.4141000|43.2964000|12|15|?im?ek|46.3
